date,sigla,user_count,sum_interactions,log_interactions,norm_user_count,norm_log_sum_interactions,pressao,pressao_movel
2018-12-31,MPV 1015/2020,0,0,0,0,0,0,0
2018-12-31,MPV 1037/2021,0,0,0,0,0,0,0
2018-12-31,MPV 1039/2021,0,0,0,0,0,0,0
2018-12-31,MPV 1040/2021,0,0,0,0,0,0,0
2018-12-31,MPV 867/2018,0,0,0,0,0,0,0
2018-12-31,MPV 868/2018,0,0,0,0,0,0,0
2018-12-31,MPV 869/2018,0,0,0,0,0,0,0
2018-12-31,MPV 870/2019,3,4059,11.986908624697694,1,1,1,0
2018-12-31,MPV 881/2019,0,0,0,0,0,0,0
2018-12-31,MPV 884/2019,0,0,0,0,0,0,0
2018-12-31,MPV 897/2019,0,0,0,0,0,0,0
2018-12-31,MPV 900/2019,0,0,0,0,0,0,0
2018-12-31,MPV 901/2019,0,0,0,0,0,0,0
2018-12-31,MPV 903/2019,0,0,0,0,0,0,0
2018-12-31,MPV 908/2019,0,0,0,0,0,0,0
2018-12-31,MPV 910/2019,0,0,0,0,0,0,0
2018-12-31,MPV 913/2019,0,0,0,0,0,0,0
2018-12-31,MPV 920/2020,0,0,0,0,0,0,0
2018-12-31,MPV 928/2020,0,0,0,0,0,0,0
2018-12-31,MPV 936/2020,0,0,0,0,0,0,0
2018-12-31,MPV 941/2020,0,0,0,0,0,0,0
2018-12-31,MPV 944/2020,0,0,0,0,0,0,0
2018-12-31,MPV 946/2020,0,0,0,0,0,0,0
2018-12-31,MPV 951/2020,0,0,0,0,0,0,0
2018-12-31,MPV 954/2020,0,0,0,0,0,0,0
2018-12-31,MPV 959/2020,0,0,0,0,0,0,0
2018-12-31,MPV 961/2020,0,0,0,0,0,0,0
2018-12-31,MPV 966/2020,0,0,0,0,0,0,0
2018-12-31,MPV 993/2020,0,0,0,0,0,0,0
2018-12-31,MPV 996/2020,0,0,0,0,0,0,0
2018-12-31,PEC 10/2013,0,0,0,0,0,0,0
2018-12-31,PEC 10/2020,0,0,0,0,0,0,0
2018-12-31,PEC 104/2003,0,0,0,0,0,0,0
2018-12-31,PEC 110/2019,0,0,0,0,0,0,0
2018-12-31,PEC 128/2019,0,0,0,0,0,0,0
2018-12-31,PEC 13/2015,0,0,0,0,0,0,0
2018-12-31,PEC 13/2019,0,0,0,0,0,0,0
2018-12-31,PEC 133/2019,0,0,0,0,0,0,0
2018-12-31,PEC 15/2015,0,0,0,0,0,0,0
2018-12-31,PEC 17/2019,0,0,0,0,0,0,0
2018-12-31,PEC 18/2011,0,0,0,0,0,0,0
2018-12-31,PEC 186/2019,0,0,0,0,0,0,0
2018-12-31,PEC 188/2019,0,0,0,0,0,0,0
2018-12-31,PEC 215/2000,0,0,0,0,0,0,0
2018-12-31,PEC 225/2008,0,0,0,0,0,0,0
2018-12-31,PEC 233/2008,0,0,0,0,0,0,0
2018-12-31,PEC 24/2017,0,0,0,0,0,0,0
2018-12-31,PEC 26/2020,0,0,0,0,0,0,0
2018-12-31,PEC 280/2016,0,0,0,0,0,0,0
2018-12-31,PEC 287/2016,0,0,0,0,0,0,0
2018-12-31,PEC 29/2015,0,0,0,0,0,0,0
2018-12-31,PEC 293/2004,0,0,0,0,0,0,0
2018-12-31,PEC 31/2020,0,0,0,0,0,0,0
2018-12-31,PEC 3/2021,0,0,0,0,0,0,0
2018-12-31,PEC 32/2020,0,0,0,0,0,0,0
